Category,Sub Category,Brand,Product,Price,Original Price,Discount %,Discount Amount,price_range,Availability,Rating,Is Prime,Product URL,Image URL,Date Scraped
Men,Shirt,Symbol Premium,Men's Shirts,1199,2499.0,52.02,1300,Budget,In Stock,4.4,Yes,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MTg0Njk3NDM5NDEyMDI1OjE3NDQwNDY3Nzg6c3BfYXRmOjMwMDUyMzQ5NDMwNDEzMjo6MDo6&url=%2FSymbol-Premium-Casual-Regular-Green_L%2Fdp%2FB0DPKP5P6G%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.qcJTHTuZ15FKdSD3kpfzMXC-SYfb6Yhw_KnRuocYeGqlfUi6CjA9HCnAGjWJUi2YUrC4rs_BW2SoXUXOWFzEtMDEnGlhqj4gBcyDZkdRs2I_55MCX0ddnj-6YkWKQpOtKDBk8jvYHjLdGcBvYPKQtQz073fly3wbIrgWj-DZzItGwFLxQ-JpocuU-1SXgocm5nMF1yWPlJxgDg_JezR9wse6YQh9RcNu3DGLLq1vS8T0wYXzF6C5oeUUH54KsHDkwIG1rRdQOwZ7ASKu07mk216tBUT__qW1kk-PGxXqaFs.Xedpqc3Fj1kUW9YvbOW_44zobMJjqr_C6a7QLFYyJ70%26dib_tag%3Dse%26keywords%3Dmen%2527s%2Bshirts%26qid%3D1744046777%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71XX0OTaPbL._AC_UL320_.jpg,2025-04-07
Men,Shirt,Amazon Brand - Symbol,Men's Shirts,599,1799.0,66.7,1200,Budget,In Stock,3.9,Yes,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MTg0Njk3NDM5NDEyMDI1OjE3NDQwNDY3Nzg6c3BfYXRmOjMwMDQ4MTM4MjIxNzEzMjo6MDo6&url=%2FAmazon-Brand-Symbol-Shirt-SS20-SYM-FS-02_EPP-1A_Bottle%2Fdp%2FB097MSR6J9%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.qcJTHTuZ15FKdSD3kpfzMXC-SYfb6Yhw_KnRuocYeGqlfUi6CjA9HCnAGjWJUi2YUrC4rs_BW2SoXUXOWFzEtMDEnGlhqj4gBcyDZkdRs2I_55MCX0ddnj-6YkWKQpOtKDBk8jvYHjLdGcBvYPKQtQz073fly3wbIrgWj-DZzItGwFLxQ-JpocuU-1SXgocm5nMF1yWPlJxgDg_JezR9wse6YQh9RcNu3DGLLq1vS8T0wYXzF6C5oeUUH54KsHDkwIG1rRdQOwZ7ASKu07mk216tBUT__qW1kk-PGxXqaFs.Xedpqc3Fj1kUW9YvbOW_44zobMJjqr_C6a7QLFYyJ70%26dib_tag%3Dse%26keywords%3Dmen%2527s%2Bshirts%26qid%3D1744046777%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71rwNkt3FBL._AC_UL320_.jpg,2025-04-07
Men,Shirt,Amazon Brand - Symbol,Men's Shirts,599,1499.0,60.04,900,Budget,In Stock,3.8,Yes,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MTg0Njk3NDM5NDEyMDI1OjE3NDQwNDY3Nzg6c3BfYXRmOjMwMDM0NTA2NTE5NTIzMjo6MDo6&url=%2FAmazon-Brand-Symbol-Regular-AZ-SY-RR-12A-05_Grey%2Fdp%2FB08JQPKT4B%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.qcJTHTuZ15FKdSD3kpfzMXC-SYfb6Yhw_KnRuocYeGqlfUi6CjA9HCnAGjWJUi2YUrC4rs_BW2SoXUXOWFzEtMDEnGlhqj4gBcyDZkdRs2I_55MCX0ddnj-6YkWKQpOtKDBk8jvYHjLdGcBvYPKQtQz073fly3wbIrgWj-DZzItGwFLxQ-JpocuU-1SXgocm5nMF1yWPlJxgDg_JezR9wse6YQh9RcNu3DGLLq1vS8T0wYXzF6C5oeUUH54KsHDkwIG1rRdQOwZ7ASKu07mk216tBUT__qW1kk-PGxXqaFs.Xedpqc3Fj1kUW9YvbOW_44zobMJjqr_C6a7QLFYyJ70%26dib_tag%3Dse%26keywords%3Dmen%2527s%2Bshirts%26qid%3D1744046777%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71blXygpkyL._AC_UL320_.jpg,2025-04-07
Men,Shirt,SOHA,Men's Shirts,523,627.0,16.59,104,Budget,In Stock,0.0,No,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MTg0Njk3NDM5NDEyMDI1OjE3NDQwNDY3Nzg6c3BfYXRmOjMwMDUyMzUzOTA4OTIzMjo6MDo6&url=%2FPrathvi-Exports-Cotton-Casual-Printed%2Fdp%2FB0DZXDJWGC%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.qcJTHTuZ15FKdSD3kpfzMXC-SYfb6Yhw_KnRuocYeGqlfUi6CjA9HCnAGjWJUi2YUrC4rs_BW2SoXUXOWFzEtMDEnGlhqj4gBcyDZkdRs2I_55MCX0ddnj-6YkWKQpOtKDBk8jvYHjLdGcBvYPKQtQz073fly3wbIrgWj-DZzItGwFLxQ-JpocuU-1SXgocm5nMF1yWPlJxgDg_JezR9wse6YQh9RcNu3DGLLq1vS8T0wYXzF6C5oeUUH54KsHDkwIG1rRdQOwZ7ASKu07mk216tBUT__qW1kk-PGxXqaFs.Xedpqc3Fj1kUW9YvbOW_44zobMJjqr_C6a7QLFYyJ70%26dib_tag%3Dse%26keywords%3Dmen%2527s%2Bshirts%26qid%3D1744046777%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/41iXeqE7ALL._AC_UL320_.jpg,2025-04-07
Men,Shirt,CB-COLEBROOK,Men's Shirts,495,1849.0,73.23,1354,Budget,In Stock,3.8,No,https://www.amazon.in/CB-COLEBROOK-Regular-Spread-Collar-Casual/dp/B0CGLMT89Z/ref=sr_1_5?dib=eyJ2IjoiMSJ9.qcJTHTuZ15FKdSD3kpfzMXC-SYfb6Yhw_KnRuocYeGqlfUi6CjA9HCnAGjWJUi2YUrC4rs_BW2SoXUXOWFzEtMDEnGlhqj4gBcyDZkdRs2I_55MCX0ddnj-6YkWKQpOtKDBk8jvYHjLdGcBvYPKQtQz073fly3wbIrgWj-DZzItGwFLxQ-JpocuU-1SXgocm5nMF1yWPlJxgDg_JezR9wse6YQh9RcNu3DGLLq1vS8T0wYXzF6C5oeUUH54KsHDkwIG1rRdQOwZ7ASKu07mk216tBUT__qW1kk-PGxXqaFs.Xedpqc3Fj1kUW9YvbOW_44zobMJjqr_C6a7QLFYyJ70&dib_tag=se&keywords=men%27s+shirts&qid=1744046777&sr=8-5,https://m.media-amazon.com/images/I/51j2mBT8iiL._AC_UL320_.jpg,2025-04-07
Men,Shirt,Allen Solly,Men's Shirts,889,1599.0,44.4,710,Budget,In Stock,3.6,Yes,https://www.amazon.in/Allen-Solly-Geometric-Regular-ASSFWMOFO48848_White_42/dp/B07DMQRD6F/ref=sr_1_6?dib=eyJ2IjoiMSJ9.qcJTHTuZ15FKdSD3kpfzMXC-SYfb6Yhw_KnRuocYeGqlfUi6CjA9HCnAGjWJUi2YUrC4rs_BW2SoXUXOWFzEtMDEnGlhqj4gBcyDZkdRs2I_55MCX0ddnj-6YkWKQpOtKDBk8jvYHjLdGcBvYPKQtQz073fly3wbIrgWj-DZzItGwFLxQ-JpocuU-1SXgocm5nMF1yWPlJxgDg_JezR9wse6YQh9RcNu3DGLLq1vS8T0wYXzF6C5oeUUH54KsHDkwIG1rRdQOwZ7ASKu07mk216tBUT__qW1kk-PGxXqaFs.Xedpqc3Fj1kUW9YvbOW_44zobMJjqr_C6a7QLFYyJ70&dib_tag=se&keywords=men%27s+shirts&qid=1744046777&sr=8-6,https://m.media-amazon.com/images/I/61idJrfaIRL._AC_UL320_.jpg,2025-04-07
Men,Shirt,Bellstone,Men's Shirts,445,1499.0,70.31,1054,Budget,In Stock,3.6,No,https://www.amazon.in/Bellstone-Solid-Cotton-Blend-Straight/dp/B0CJJRDV1P/ref=sr_1_7?dib=eyJ2IjoiMSJ9.qcJTHTuZ15FKdSD3kpfzMXC-SYfb6Yhw_KnRuocYeGqlfUi6CjA9HCnAGjWJUi2YUrC4rs_BW2SoXUXOWFzEtMDEnGlhqj4gBcyDZkdRs2I_55MCX0ddnj-6YkWKQpOtKDBk8jvYHjLdGcBvYPKQtQz073fly3wbIrgWj-DZzItGwFLxQ-JpocuU-1SXgocm5nMF1yWPlJxgDg_JezR9wse6YQh9RcNu3DGLLq1vS8T0wYXzF6C5oeUUH54KsHDkwIG1rRdQOwZ7ASKu07mk216tBUT__qW1kk-PGxXqaFs.Xedpqc3Fj1kUW9YvbOW_44zobMJjqr_C6a7QLFYyJ70&dib_tag=se&keywords=men%27s+shirts&qid=1744046777&sr=8-7,https://m.media-amazon.com/images/I/61NloRw77IL._AC_UL320_.jpg,2025-04-07
Men,Shirt,CB-COLEBROOK,Men's Shirts,499,2195.0,77.27,1696,Budget,In Stock,4.0,Yes,https://www.amazon.in/CB-COLEBROOK-Casual-Button-Fashion-Textured/dp/B0D77N88Q3/ref=sr_1_8?dib=eyJ2IjoiMSJ9.qcJTHTuZ15FKdSD3kpfzMXC-SYfb6Yhw_KnRuocYeGqlfUi6CjA9HCnAGjWJUi2YUrC4rs_BW2SoXUXOWFzEtMDEnGlhqj4gBcyDZkdRs2I_55MCX0ddnj-6YkWKQpOtKDBk8jvYHjLdGcBvYPKQtQz073fly3wbIrgWj-DZzItGwFLxQ-JpocuU-1SXgocm5nMF1yWPlJxgDg_JezR9wse6YQh9RcNu3DGLLq1vS8T0wYXzF6C5oeUUH54KsHDkwIG1rRdQOwZ7ASKu07mk216tBUT__qW1kk-PGxXqaFs.Xedpqc3Fj1kUW9YvbOW_44zobMJjqr_C6a7QLFYyJ70&dib_tag=se&keywords=men%27s+shirts&qid=1744046777&sr=8-8,https://m.media-amazon.com/images/I/51-pLhPHoBL._AC_UL320_.jpg,2025-04-07
Men,Shirt,Dennis Lingo,Men's Shirts,649,3149.0,79.39,2500,Budget,In Stock,3.9,Yes,https://aax-eu.amazon.in/x/c/JMEa5BDI2tmdw5bD8u0tUvcAAAGWEUnnEAMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICD4zfKK/clv1_CEuOPUxokZA0iHrVRd03wA_1QnkhYOEZsIw_5GOxrtgk138dsTi6dPw18HHE8xvVjq0yzpNb3X7OfU0rAWcAGHJ5NAy0FMOpIRohYlpJWgSaRb0tokfB8IkGXCQoUeW6XJfef1D8rsFSE0M9llvwdksJOldODd93Q196UuYlQRaY37qDjF4oXlv5OpjsdqwyCjQHbdXAhZRSWWhBJNwAffQdjs-hn4wsEjvWNPQG9gUahJtJn6j8Z0wG3nKH1EB2AHnpPv3v4jxS3xQ8E-0vSRa_JV6ZjAz9B7yl_bPrUYAZJ0SW56eH2BSUewSYOpuqn80-9eRFXO7asbbTLt-NBPl76cRIe2Q-vo8C-9FHE6Fj0W5fDGi7yyiRp7Uochybcyw2qnqAwUQnhinFOJGQaFdhRZzXuNdUWekbGEVr5yp2N7x1hxpbFTt6_ZtQIVQjGYWURtXE5c2WYj0fYwqXp5k5RHmyoBqWXwRyXIlzu-6HH3FT4s6H-wHLa21DBZGSkM0K_SFkG4gwwxmImXXG7TvDXAVBdkM7BA2VVBHqP5HxRyOtGwl75VQCCF3beWjjTcYigPRbLgeyrKdlg-IcNyLiMCNNsSl1iNkGud31v3Mko4-Hw7UTQ3vR8SK_SaudJVksbv4MIzxhzrB3CJxLnRk9poLLHhRYe1tZn8RQw6gqFEwHfiKgpFA7ogLbZfp-iygl8XdExO4_yegSDUK3NX4y_5HhC_rEz6XBFWELCiTvgBvSRsZ74T9i8dJycPqYh5loFB3Xrmj36BjGH0HkBAd5pR2RWDJfqudmR6E0YC-X318TBrN2uAU8qqWfbDytX8WqdT18ygPxhY1jZd9GtpqyjGIcsvW9IM2Il9GskXvqjnfGxktNzyP0hn6SvCfepuQlpe4mzSrFMOIqd9cCCtqHgsXj4RJUGXcyOjjYrBv3rW9EJk8haU85eCri9mWBtii_RvT6v4eIiOPeuxKwe4ZUPsS7Rp_2-li8a3dzFf4KWzhFZFdYbJTJzAHtB24QDQWD_qJq2wVtQrIe96Sk_SVwlT1TH-W7pFdo8YhfqxIBdEa1DKawOTLaVbElActNRGKLSYH0EAMsN-O0fb_Zrdf2UALaxYVJcPJQMDdNOY7CGHaoXMBhhltEGYCDouvaueAaecjYiAMsPrV6inhcaW4fWMHVX2jULdQJu6LFs4e_ywOT9kj04J1cjCdbXckmBCCoHGz4x26tfTcmmXvDGtuj7chYhaZr-yqj_ppqcmHmHA8FR03TwVeHhTMoIrfdU6AqsdDjZUvAc7BSBLVPm1YT-qtPrZiK4TC2nGSaO93PdeNbYuCE4eoO_zaX0dUdPIkuTxCrlUnnpLohDHp62Z-26dY02SBXQuNVMtt3uaYQtUmlX3yVheiVJUTKQJZGPRv7bE3wKwT_RRsuZoviT4GN2zmvGTd-7ohWzfrxuWxpcw5wzfUEG90ULgX4Jwad0QwaMUPUvLS7uynOEBL0QX_19Be3YfgAlqJ0_okftV14hEn1Omr8CVhXjZgJwoKMt2yEJtaEgVYFTn8U1Ai4q1qWeioSiNUvVyRm-hf_pwX66bfT4LzKOtokU4pH7asqJJikcX_xh4rwVOiqewUEYCpT8PjelYAuwpDV9FvDvZefZkfzOBG3nQwXvFthAoywdiybRyTR2boaEnCR0j1F17FLH2CjX2QWBadrucAlEteEFudjlrKrfHA0yMa8l8WAjb9NaKqVa3Uvcgfgx-89IQr-5ARBuw6cgJ9bGWrOADbF64BUghyQi3pCHR2rKGRje5An/https://www.amazon.in/dp/B0158FJW4G?pd_rd_i=B0158FJW4G&pf_rd_p=288d7cd9-bdfb-4778-882a-c15de0f76151&pf_rd_r=59DK00MWWM0VQQAHJBS0&pd_rd_wg=yNzQ3&pd_rd_w=GnpZH&pd_rd_r=7f9a00dc-0514-43ea-9e91-a4560d141adb,https://m.media-amazon.com/images/I/514KfWLx9wL._AC_UL320_.jpg,2025-04-07
Men,Shirt,IndoPrimo,Men's Shirts,479,1999.0,76.04,1520,Budget,In Stock,4.1,No,https://www.amazon.in/IndoPrimo-Regular-Double-Pocket-Sleeves/dp/B0CYGZ7D8S/ref=sr_1_9?dib=eyJ2IjoiMSJ9.qcJTHTuZ15FKdSD3kpfzMXC-SYfb6Yhw_KnRuocYeGqlfUi6CjA9HCnAGjWJUi2YUrC4rs_BW2SoXUXOWFzEtMDEnGlhqj4gBcyDZkdRs2I_55MCX0ddnj-6YkWKQpOtKDBk8jvYHjLdGcBvYPKQtQz073fly3wbIrgWj-DZzItGwFLxQ-JpocuU-1SXgocm5nMF1yWPlJxgDg_JezR9wse6YQh9RcNu3DGLLq1vS8T0wYXzF6C5oeUUH54KsHDkwIG1rRdQOwZ7ASKu07mk216tBUT__qW1kk-PGxXqaFs.Xedpqc3Fj1kUW9YvbOW_44zobMJjqr_C6a7QLFYyJ70&dib_tag=se&keywords=men%27s+shirts&qid=1744046777&sr=8-9,https://m.media-amazon.com/images/I/61hv49VjMuL._AC_UL320_.jpg,2025-04-07
